Season,ID,Name,filename,Age,PuertoRico,Black,White,POC,PlusSize,Place,Wins,Highs,Lows,Lipsyncs,Comedy,Pageant ,SnatchGameWin,Party Princess,Purity Princess,Draggity Princess,Blackout Princess,Cookie Princess,Bartender Princess,PrincessPoints
7,88,Sasha Belle,,28,0,0,1,0,0,13,,,1,1,,,,,,,,,,
7,89,Tempest DuJour,,46,0,0,1,0,0,14,,,,1,1,,,,,,,,,
8,90,Acid Betty,,37,0,0,1,0,0,8,,3,,1,,,,6,7,6,6,5,4,5.67
8,91,Bob the Drag Queen,,29,0,1,0,0,0,1,3,,1,1,1,,1,10,10,9,9,10,10,9.67
8,92,Chi Chi DeVayne,,29,0,1,0,0,0,4,1,1,1,2,,,,2,4,3,5,3,1,3
8,93,Cynthia Lee Fontaine,,34,1,0,0,1,0,10,,,,1,1,,,0,1,3,3,3,2,2
8,94,Dax ExclamationPoint,,31,0,1,0,0,0,11,,,,1,1,,,8,7,10,10,9,6,8.33
8,95,Derrick Barry,,32,0,0,1,0,0,5,1,2,2,2,,,,4,6,7,7,8,4,6
8,96,Kim Chi,,27,0,0,0,1,0,2,2,2,1,,1,,,10,8,7,5,5,7,7
8,97,Laila McQueen,,22,0,0,1,0,0,11,,,,2,,,,8,6,8,7,4,5,6.33
8,98,Naomi Smalls,,21,0,1,0,0,0,3,1,2,1,1,,,,4,3,7,9,4,5,5.33
8,99,Robbie Turner,,33,0,0,1,0,0,7,1,,2,2,1,,,6,5,5,2,8,8,6.17
8,100,Thorgy Thor,,31,0,0,1,0,0,6,,3,1,1,1,,,6,6,7,5,7,7,6.17
8,101,Naysha Lopez,,31,1,0,0,1,0,9,,,,2,,1,,2,3,3,2,5,2,2.83
9,102,Aja,,22,0,1,0,0,0,9,,1,,2,,,,6,7,8,5,7.5,3,6.75
9,103,Alexis Michelle,,33,0,0,1,0,0,5,1,2,2,2,,,,6,6,7,4,8.75,7,6.79
9,104,Charlie Hides,,52,0,0,1,0,0,12,,,1,1,,,,10,9,9,6,9,9,8.5
9,105,Eureka,,25,0,0,1,0,1,11,,1,,,,,,5,6,5.5,3,5,6,5.42
9,106,Farrah Moan,,23,0,0,1,0,0,8,,1,2,2,,,,5,6,7.5,6,7,2,6.42
9,107,Jaymes Mansfield,,26,0,0,1,0,1,14,,,,1,,,,10,10,6,6,7,7,7.83
9,108,Kimora Blac,,28,0,0,0,1,0,13,,,,2,,,,5,7,8,7,6,1,6.5
9,109,Nina Bo'Nina Brown,,34,0,1,0,0,0,6,1,1,1,3,,,,8,8,8.5,9,9,5,8.42
9,110,Peppermint,,37,0,1,0,0,0,2,1,2,1,2,,,,5,6,6.5,5,7.5,7,6.33
9,111,Sasha Velour,,29,0,0,1,0,0,1,2,5,1,,,,,8,7,8.5,8,7.5,7,7.83
9,112,Shea Coulee,,27,0,1,0,0,0,3,4,3,,1,,,,5,6,6.5,7,7.5,2,6.33
9,113,Trinity Taylor,,31,0,0,1,0,0,4,3,1,2,1,,,,4,5,4.5,4,6,1,4.92
9,114,Valentina,,25,0,0,0,1,0,7,1,3,,1,,,,6,7,7.5,7,8,2,7.08
9,115,Cynthia Lee Fontaine,,35,1,0,0,1,0,10,,,,2,,,,,,,,,,
10,116,Aquaria,Aquaria,21,0,0,1,0,0,1,3,1,2,,,,,,,,,,,
10,117,Asia O'Hara,Asia,35,0,1,0,0,0,4,2,2,2,1,,,,,,,,,,
10,118,Blair St. Clair,Blair,22,0,0,1,0,0,9,,3,,1,,,,,,,,,,
10,119,Dusty Ray Bottoms,Dusty,29,0,0,1,0,0,11,,,1,1,,,,,,,,,,
10,120,Eureka O'Hara,EurekaS10,27,0,0,1,0,1,2,2,4,,2,,,,,,,,,,
10,121,Kalorie Karbdashian-Williams,Kalorie,27,0,0,0,1,1,13,,,,2,,,,,,,,,,
10,122,Kameron Michaels,Kameron,31,0,0,1,0,0,2,1,3,1,3,,,,,,,,,,
10,123,Mayhem Miller,Mayhem,35,0,1,0,0,0,10,1,1,,2,,,,,,,,,,
10,124,Miz Cracker,Miz,33,0,0,1,0,0,5,1,4,2,1,,,,,,,,,,
10,125,Monet X Change,Monet,27,0,1,0,0,0,6,,5,,3,,,,,,,,,,
10,126,Monique Heart,Monique,31,0,1,0,0,0,8,,1,1,1,,,,,,,,,,
10,127,Vanessa Vanjie Mateo,Vanessa,25,0,0,0,1,0,14,,,,1,,,,,,,,,,
10,128,The Vixen,Vixen,26,0,1,0,0,0,7,1,,1,3,,,,,,,,,,
10,129,Yuhua Hamasaki,Yuhua,27,0,0,0,1,0,12,,1,,1,,,,,,,,,,
11,130,A'keria Chanel Davenport,akeria,30,0,1,0,0,0,3,2,2,,2,,,,,,,,,,
11,131,Ariel Versace,ariel,26,0,0,1,0,0,11,,1,1,1,,,,,,,,,,
11,132,Brooke Lynn Hytes,brooke,32,0,0,1,0,0,2,3,6,1,2,,,,,,,,,,
11,133,Honey Davenport,honey,32,0,1,0,0,0,13,,,,1,,,,,,,,,,
11,134,Kahanna Montrese,kahanna,25,0,1,0,0,0,14,,,,2,,,,,,,,,,
11,135,Mercedes Iman Diamond,mercedes,31,0,1,0,0,0,12,,,1,2,,,,,,,,,,
11,136,Nina West,nina,39,0,0,1,0,1,6,2,1,3,1,,,,,,,,,,
11,137,Plastique Tiara,plastique,21,0,0,0,1,0,8,1,3,,2,,,,,,,,,,
11,138,Ra'jah O'Hara,rajah,33,0,1,0,0,0,9,,,,4,,,,,,,,,,
11,139,Scarlet Envy,scarlet,26,0,0,1,0,0,10,1,,,2,,,,,,,,,,
11,140,Shuga Cain,shuga,40,0,0,0,1,0,7,,3,1,3,,,,,,,,,,
11,141,Silky Nutmeg Ganache,silky,28,0,1,0,0,1,4,2,3,2,1,,,,,,,,,,
11,142,Soju,soju,27,0,0,0,1,0,15,,,,1,,,,,,,,,,
11,143,Vanessa Vanjie Mateo,vanessa,26,1,0,0,1,0,5,,3,2,3,,,,,,,,,,
11,144,Yvie Oddly,yvie,24,0,1,0,0,0,1,2,5,1,1,,,,,,,,,,
12,145,Jaida Essence Hall,,32,0,1,0,0,0,1,3,3,,1,,,,,,,,,,
12,146,Crystal Methyd,,28,,,,1,0,2,1,4,2,1,,,,,,,,,,
12,147,Gigi Goode,,21,,,1,,0,3,4,1,2,0,,,,,,,,,,
12,148,Sherry Pie,,27,,,1,,0,4,2,2,2,,,,,,,,,,,
12,149,Jackie Cox,,34,,,,1,0,5,,6,1,2,,,,,,,,,,
12,150,Heidi N Closet,,24,,1,,,0,6,1,2,1,4,,,,,,,,,,
12,151,Widow Von Du,,30,,1,,,1,7,1,1,1,1,,,,,,,,,,
12,152,Jan,,26,,,1,,0,8,,3,,1,,,,,,,,,,
12,153,Brita,,34,,,,1,1,9,,1,1,3,,,,,,,,,,
12,154,Aiden Zhane,,29,,,1,,0,10,,2,1,1,,,,,,,,,,
12,155,Nicky Doll,,28,,,1,,0,11,,1,1,2,,,,,,,,,,
12,156,Rock M. Sakura,,28,,,,1,0,12,,,1,1,,,,,,,,,,
12,157,Dahlia Sin,,28,,1,,,0,13,,,1,1,,,,,,,,,,
13,158,Symone,,25,,1,,,0,1,5,2,,2,,,,,,,,,,
13,159,Kandy Muse,,25,,1,,,1,2,2,4,,3,,,,,,,,,,
13,160,Gottmik,,23,,,1,,0,3,3,4,2,,,,,,,,,,,
13,161,Rose,,31,,,1,,0,4,3,4,2,,,,,,,,,,,
13,162,Olivia Lux,,26,,1,,,0,5,3,1,3,2,,,,,,,,,,
13,163,Utica Queen,,25,,,1,,0,6,1,2,3,3,,,,,,,,,,
13,164,Tina Burner,,40,,,1,,1,7,1,2,2,1,,,,,,,,,,
13,165,Denali,,28,,,,1,0,8,1,2,1,2,,,,,,,,,,
13,166,Elliott with 2 Ts,,26,,,1,,0,9,,2,1,2,,,,,,,,,,
13,167,LaLa Ri,,30,,1,,,0,10,1,1,1,2,,,,,,,,,,
13,168,Tamisha Iman,,49,,1,,,0,11,,1,2,1,,,,,,,,,,
13,169,Joey Jay,,30,,,1,,0,12,,,2,1,,,,,,,,,,
13,170,Kahmora Hall,,28,,,,1,0,13,,,2,1,,,,,,,,,,
14,171,Willow Pill,,26,,,1,,,1,1,5,,2,,,,,,,,,,
14,172,Lady Camden,,31,,,1,,,2,3,4,1,1,,,,,,,,,,
14,173,Angeria Paris VanMichaels,,27,,1,,,,3,2,4,,2,,,,,,,,,,
14,174,Bosco,,28,,,1,,,4,3,2,1,2,,,,,,,,,,
14,175,Daya Betty,,25,,,1,,,5,1,3,1,2,,,,,,,,,,
14,176,DeJa Skye,,31,,1,,,1,6,1,3,2,2,,,,,,,,,,
14,177,Jorgeous,,21,,,,1,,7,1,3,,5,,,,,,,,,,
14,178,Jasmine Kennedie,,22,,,1,,,8,,1,1,4,,,,,,,,,,
14,179,Kerry Colby,,24,,1,,,,9,,,,2,,,,,,,,,,
14,180,Maddy Morphosis,,26,,,1,,,10,,,1,2,,,,,,,,,,
14,181,Orion Story,,25,,,1,,,11,,,,2,,,,,,,,,,
14,182,Kornbread,,29,,1,,,1,12,1,,1,,,,,,,,,,,
14,183,Alyssa Hunter,,26,1,,,,,13,,,1,1,,,,,,,,,,
14,184,June Jambalaya,,29,,1,,,1,14,,,,2,,,,,,,,,,
15,185,Anetra,,25,,,,1,,,1,,,,,,,,,,,,,
15,186,Jax,,25,,1,,,,,,1,,,,,,,,,,,,
15,187,Marcia Marcia Marcia,,25,,,1,,,,,1,,,,,,,,,,,,
15,188,Aura Mayari,,30,,,,1,,,,,,,,,,,,,,,,
15,189,Luxx Noir London,,22,,1,,,,,,,,,,,,,,,,,,
15,190,Malaysia Babydoll Foxx,,32,,1,,,1,,,,,,,,,,,,,,,
15,191,Mistress Isabelle Brooks,,24,,,,1,1,,,,,,,,,,,,,,,
15,192,Princess Poppy,,26,,,1,,,,,,,,,,,,,,,,,
15,193,Robin Fierce,,26,,1,,,,,,,,,,,,,,,,,,
15,194,Salina EsTitties,,31,,,,1,,,,,,,,,,,,,,,,
15,195,Sasha Colby,,37,,1,,,,,,,,,,,,,,,,,,
15,196,Spice,,23,,,1,,,,,,,,,,,,,,,,,
15,197,Sugar,,23,,,1,,,,,,,,,,,,,,,,,
15,198,Loosey LaDuca,,32,,,1,,,,,,1,,,,,,,,,,,
15,199,Amethyst,,27,,,1,,,,,,,1,,,,,,,,,,
15,200,Irene Dubois,,29,,,1,,,16,,,,1,,,,,,,,,,
