Season,ID,Name,Age,PuertoRico,PlusSize,Place,Start,End,Out,Wins,Highs,Lows,Lipsyncs,Comedy,Pageant ,SnatchGameWin
2,11,Raven,30,0,0,2,2,3,0,,,,2,,,
2,11,Raven,30,0,0,2,3,4,0,,,,2,,,
2,11,Raven,30,0,0,2,4,5,0,,1,,2,,,
2,11,Raven,30,0,0,2,5,6,0,,2,,2,,,
2,11,Raven,30,0,0,2,6,7,0,1,2,,2,,,
2,11,Raven,30,0,0,2,7,8,0,2,2,,2,,,
2,11,Raven,30,0,0,2,8,9,0,2,3,,2,,,
2,11,Raven,30,0,0,2,9,10,1,2,3,,2,,,
2,12,Jujubee,25,0,0,3,0,1,0,,,,,,,
2,12,Jujubee,25,0,0,3,1,2,0,,1,,,,,
2,12,Jujubee,25,0,0,3,2,3,0,,1,,,,,
2,12,Jujubee,25,0,0,3,3,4,0,,1,1,,,,
2,12,Jujubee,25,0,0,3,4,5,0,,2,1,,,,
2,12,Jujubee,25,0,0,3,5,6,0,,2,1,1,,,
2,12,Jujubee,25,0,0,3,6,7,0,,3,1,1,,,
2,12,Jujubee,25,0,0,3,7,8,0,,3,1,2,,,
2,12,Jujubee,25,0,0,3,8,9,0,,3,1,3,,,
2,12,Jujubee,25,0,0,3,9,10,1,,3,1,3,,,
2,13,Tatianna,21,0,0,4,0,1,0,,,,,,,1
2,13,Tatianna,21,0,0,4,1,2,0,,,1,,,,1
2,13,Tatianna,21,0,0,4,2,3,0,,,1,,,,1
2,13,Tatianna,21,0,0,4,3,4,0,1,,1,,,,1
2,13,Tatianna,21,0,0,4,4,5,0,1,,2,,,,1
2,13,Tatianna,21,0,0,4,5,6,0,1,,2,,,,1
2,13,Tatianna,21,0,0,4,6,7,0,1,,2,1,,,1
2,13,Tatianna,21,0,0,4,7,8,0,1,1,2,1,,,1
2,13,Tatianna,21,0,0,4,8,9,1,1,1,2,2,,,1
2,14,Pandora Boxx,37,0,0,5,0,1,0,,1,,,1,,
2,14,Pandora Boxx,37,0,0,5,1,2,0,,1,,,1,,
2,14,Pandora Boxx,37,0,0,5,2,3,0,,2,,,1,,
2,14,Pandora Boxx,37,0,0,5,3,4,0,,3,,,1,,
2,14,Pandora Boxx,37,0,0,5,4,5,0,,3,,,1,,
2,14,Pandora Boxx,37,0,0,5,5,6,0,,4,,,1,,
2,14,Pandora Boxx,37,0,0,5,6,7,0,,4,1,,1,,
2,14,Pandora Boxx,37,0,0,5,7,8,1,,4,1,1,1,,
2,15,Jessica Wild,29,1,0,6,0,1,0,,,,,,,
2,15,Jessica Wild,29,1,0,6,1,2,0,,1,,,,,
2,15,Jessica Wild,29,1,0,6,2,3,0,,2,,,,,
2,15,Jessica Wild,29,1,0,6,3,4,0,,2,,,,,
2,15,Jessica Wild,29,1,0,6,4,5,0,,3,,,,,
2,15,Jessica Wild,29,1,0,6,5,6,0,1,3,,,,,
2,15,Jessica Wild,29,1,0,6,6,7,1,1,3,,1,,,
2,16,Sahara Davenport,25,0,0,7,0,1,0,,,,1,,,
2,16,Sahara Davenport,25,0,0,7,1,2,0,1,,,1,,,
2,16,Sahara Davenport,25,0,0,7,2,3,0,1,,,1,,,
2,16,Sahara Davenport,25,0,0,7,3,4,0,1,,,1,,,
2,16,Sahara Davenport,25,0,0,7,4,5,0,1,,,2,,,
2,16,Sahara Davenport,25,0,0,7,5,6,1,1,,,3,,,
2,17,Morgan McMichaels,28,0,0,8,0,1,0,1,,,,,,
2,17,Morgan McMichaels,28,0,0,8,1,2,0,1,,,,,,
2,17,Morgan McMichaels,28,0,0,8,2,3,0,1,,,,,,
2,17,Morgan McMichaels,28,0,0,8,3,4,0,1,,,1,,,
2,17,Morgan McMichaels,28,0,0,8,4,5,1,1,,,2,,,
2,18,Sonique,26,0,0,9,0,1,0,,,,,,,
2,18,Sonique,26,0,0,9,1,2,0,,,1,,,,
2,18,Sonique,26,0,0,9,2,3,0,,,1,,,,
2,18,Sonique,26,0,0,9,3,4,1,,,1,1,,,
2,19,Mystique,25,0,1,10,0,1,0,,,1,,,,
2,19,Mystique,25,0,1,10,1,2,0,,1,1,,,,
2,19,Mystique,25,0,1,10,2,3,1,,1,1,1,,,
2,20,Nicole Paige Brooks,36,0,0,11,0,1,0,,,,,,,
2,20,Nicole Paige Brooks,36,0,0,11,1,2,1,,,,1,,,
2,21,Shangela-2,28,0,0,12,0,1,1,,,,1,,,
3,22,Raja,36,0,0,1,0,1,0,1,,,,,,
3,22,Raja,36,0,0,1,1,2,0,1,,,,,,
3,22,Raja,36,0,0,1,2,3,0,1,,,,,,
3,22,Raja,36,0,0,1,3,4,0,1,,,,,,
3,22,Raja,36,0,0,1,4,5,0,1,1,,,,,
3,22,Raja,36,0,0,1,5,6,0,2,1,,,,,
3,22,Raja,36,0,0,1,6,7,0,2,2,,,,,
3,22,Raja,36,0,0,1,7,8,0,2,2,1,,,,
3,22,Raja,36,0,0,1,8,9,0,3,2,1,,,,
3,22,Raja,36,0,0,1,9,10,0,3,3,1,,,,
3,22,Raja,36,0,0,1,10,11,0,3,3,1,1,,,
3,22,Raja,36,0,0,1,11,12,0,3,4,1,1,,,
3,22,Raja,36,0,0,1,12,13,0,3,4,1,1,,,
3,23,Manila Luzon,25,0,0,2,0,1,0,,1,,,,,
3,23,Manila Luzon,25,0,0,2,1,2,0,,1,,,,,
3,23,Manila Luzon,25,0,0,2,2,3,0,,1,,,,,
3,23,Manila Luzon,25,0,0,2,3,4,0,1,1,,,,,
3,23,Manila Luzon,25,0,0,2,4,5,0,1,1,,,,,
3,23,Manila Luzon,25,0,0,2,5,6,0,1,2,,,,,
3,23,Manila Luzon,25,0,0,2,6,7,0,1,2,,1,,,
3,23,Manila Luzon,25,0,0,2,7,8,0,1,2,1,1,,,
3,23,Manila Luzon,25,0,0,2,8,9,0,1,3,1,1,,,
3,23,Manila Luzon,25,0,0,2,9,10,0,1,4,1,1,,,
3,23,Manila Luzon,25,0,0,2,10,11,0,2,4,1,1,,,
3,23,Manila Luzon,25,0,0,2,11,12,0,3,4,1,1,,,
3,23,Manila Luzon,25,0,0,2,12,13,1,3,4,1,1,,,
3,24,Alexis Mateo,30,1,0,3,0,1,0,,,,,,,
3,24,Alexis Mateo,30,1,0,3,1,2,0,1,,,,,,
3,24,Alexis Mateo,30,1,0,3,2,3,0,2,,,,,,
3,24,Alexis Mateo,30,1,0,3,3,4,0,2,,,,,,
3,24,Alexis Mateo,30,1,0,3,4,5,0,2,1,,,,,
3,24,Alexis Mateo,30,1,0,3,5,6,0,2,1,,1,,,
3,24,Alexis Mateo,30,1,0,3,6,7,0,2,1,1,1,,,
3,24,Alexis Mateo,30,1,0,3,7,8,0,3,1,1,1,,,
3,24,Alexis Mateo,30,1,0,3,8,9,0,3,1,2,1,,,
3,24,Alexis Mateo,30,1,0,3,9,10,0,3,1,2,2,,,
3,24,Alexis Mateo,30,1,0,3,10,11,0,3,2,2,2,,,
3,24,Alexis Mateo,30,1,0,3,11,12,0,3,2,2,3,,,
3,24,Alexis Mateo,30,1,0,3,12,13,1,3,2,2,3,,,
3,25,Yara Sofia,26,1,0,4,0,1,0,,,,,,,
3,25,Yara Sofia,26,1,0,4,1,2,0,,1,,,,,
3,25,Yara Sofia,26,1,0,4,2,3,0,,2,,,,,
3,25,Yara Sofia,26,1,0,4,3,4,0,,2,,,,,
3,25,Yara Sofia,26,1,0,4,4,5,0,,2,1,,,,
3,25,Yara Sofia,26,1,0,4,5,6,0,,3,1,,,,
3,25,Yara Sofia,26,1,0,4,6,7,0,,4,1,,,,
3,25,Yara Sofia,26,1,0,4,7,8,0,,4,1,1,,,
3,25,Yara Sofia,26,1,0,4,8,9,0,,5,1,1,,,
3,25,Yara Sofia,26,1,0,4,9,10,0,1,5,1,1,,,
3,25,Yara Sofia,26,1,0,4,10,11,0,1,6,1,1,,,
3,25,Yara Sofia,26,1,0,4,11,12,1,1,6,1,2,,,
3,26,Carmen Carrera,25,0,0,5,0,1,0,,,1,,,,
3,26,Carmen Carrera,25,0,0,5,1,2,0,,,2,,,,
3,26,Carmen Carrera,25,0,0,5,2,3,0,,,2,,,,
3,26,Carmen Carrera,25,0,0,5,3,4,0,,,2,,,,
3,26,Carmen Carrera,25,0,0,5,4,5,0,,,2,,,,
3,26,Carmen Carrera,25,0,0,5,5,6,0,,,3,,,,
3,26,Carmen Carrera,25,0,0,5,6,7,0,,1,3,,,,
3,26,Carmen Carrera,25,0,0,5,7,8,0,,1,3,1,,,
3,26,Carmen Carrera,25,0,0,5,8,9,0,,1,3,2,,,
3,26,Carmen Carrera,25,0,0,5,9,10,0,,1,3,2,,,
3,26,Carmen Carrera,25,0,0,5,10,11,1,,1,3,3,,,
3,27,Shangela-3,29,0,0,6,0,1,0,,,,1,,,
3,27,Shangela-3,29,0,0,6,1,2,0,1,,,1,,,
3,27,Shangela-3,29,0,0,6,2,3,0,1,,,1,,,
3,27,Shangela-3,29,0,0,6,3,4,0,1,1,,1,,,
3,27,Shangela-3,29,0,0,6,4,5,0,1,1,,1,,,
3,27,Shangela-3,29,0,0,6,5,6,0,1,1,1,1,,,
3,27,Shangela-3,29,0,0,6,6,7,0,2,1,1,1,,,
3,27,Shangela-3,29,0,0,6,7,8,0,2,1,1,1,,,
3,27,Shangela-3,29,0,0,6,8,9,0,2,1,1,2,,,
3,27,Shangela-3,29,0,0,6,9,10,1,2,1,1,3,,,
3,28,Delta Work,34,0,1,7,0,1,0,,,,,1,,
3,28,Delta Work,34,0,1,7,1,2,0,,,,1,1,,
3,28,Delta Work,34,0,1,7,2,3,0,,,,1,1,,
3,28,Delta Work,34,0,1,7,3,4,0,,,,1,1,,
3,28,Delta Work,34,0,1,7,4,5,0,,,,2,1,,
3,28,Delta Work,34,0,1,7,5,6,0,,1,,2,1,,
3,28,Delta Work,34,0,1,7,6,7,1,,1,,3,1,,
3,29,Stacy Layne Matthews,25,0,1,8,0,1,0,,,,,,,1
3,29,Stacy Layne Matthews,25,0,1,8,1,2,0,,1,,,,,1
3,29,Stacy Layne Matthews,25,0,1,8,2,3,0,,2,,,,,1
3,29,Stacy Layne Matthews,25,0,1,8,3,4,0,,2,,1,,,1
3,29,Stacy Layne Matthews,25,0,1,8,4,5,0,1,2,,1,,,1
3,29,Stacy Layne Matthews,25,0,1,8,5,6,1,1,2,,2,,,1
3,30,Mariah,29,0,0,9,0,1,0,,,,,,,
3,30,Mariah,29,0,0,9,1,2,0,,1,,,,,
3,30,Mariah,29,0,0,9,2,3,0,,1,1,,,,
3,30,Mariah,29,0,0,9,3,4,0,,1,2,,,,
3,30,Mariah,29,0,0,9,4,5,1,,1,2,1,,,
3,31,India Ferrah,23,0,0,10,0,1,0,,,,,,,
3,31,India Ferrah,23,0,0,10,1,2,0,,,,,,,
3,31,India Ferrah,23,0,0,10,2,3,0,,,,1,,,
3,31,India Ferrah,23,0,0,10,3,4,1,,,,2,,,
3,32,Mimi Imfurst,27,0,1,11,0,1,0,,1,,,1,,
3,32,Mimi Imfurst,27,0,1,11,1,2,0,,2,,,1,,
3,32,Mimi Imfurst,27,0,1,11,2,3,1,,2,,1,1,,
3,33,Phoenix,29,0,0,12,0,1,0,,,,,,,
3,33,Phoenix,29,0,0,12,1,2,1,,,,1,,,
3,34,Venus D-Lite,26,0,0,13,0,1,1,,,,1,,,
4,35,Sharon Needles,29,0,0,1,0,1,0,1,,,,1,,
4,35,Sharon Needles,29,0,0,1,1,2,0,1,1,,,1,,
4,35,Sharon Needles,29,0,0,1,2,3,0,2,1,,,1,,
4,35,Sharon Needles,29,0,0,1,3,4,0,2,1,,,1,,
4,35,Sharon Needles,29,0,0,1,4,5,0,2,2,,,1,,
4,35,Sharon Needles,29,0,0,1,5,6,0,2,2,,,1,,
4,35,Sharon Needles,29,0,0,1,6,7,0,2,3,,,1,,
4,35,Sharon Needles,29,0,0,1,7,8,0,2,3,,1,1,,
4,35,Sharon Needles,29,0,0,1,8,9,0,3,3,,1,1,,
4,35,Sharon Needles,29,0,0,1,9,10,0,3,3,1,1,1,,
4,35,Sharon Needles,29,0,0,1,10,11,0,4,3,1,1,1,,
4,35,Sharon Needles,29,0,0,1,11,12,0,4,3,1,1,1,,
4,36,Chad Michaels,40,0,0,2,0,1,0,,,,,,,1
4,36,Chad Michaels,40,0,0,2,1,2,0,1,,,,,,1
4,36,Chad Michaels,40,0,0,2,2,3,0,1,1,,,,,1
4,36,Chad Michaels,40,0,0,2,3,4,0,1,2,,,,,1
4,36,Chad Michaels,40,0,0,2,4,5,0,2,2,,,,,1
4,36,Chad Michaels,40,0,0,2,5,6,0,2,2,,,,,1
4,36,Chad Michaels,40,0,0,2,6,7,0,2,2,,,,,1
4,36,Chad Michaels,40,0,0,2,7,8,0,2,2,,,,,1
4,36,Chad Michaels,40,0,0,2,8,9,0,2,3,,,,,1
4,36,Chad Michaels,40,0,0,2,9,10,0,2,4,,,,,1
4,36,Chad Michaels,40,0,0,2,10,11,0,2,4,,1,,,1
4,36,Chad Michaels,40,0,0,2,11,12,1,2,4,,1,,,1
4,37,Phi Phi O'Hara,25,0,0,3,0,1,0,,,,,,,
4,37,Phi Phi O'Hara,25,0,0,3,1,2,0,,,,,,,
4,37,Phi Phi O'Hara,25,0,0,3,2,3,0,,,,,,,
4,37,Phi Phi O'Hara,25,0,0,3,3,4,0,,1,,,,,
4,37,Phi Phi O'Hara,25,0,0,3,4,5,0,,1,1,,,,
4,37,Phi Phi O'Hara,25,0,0,3,5,6,0,,2,1,,,,
4,37,Phi Phi O'Hara,25,0,0,3,6,7,0,1,2,1,,,,
4,37,Phi Phi O'Hara,25,0,0,3,7,8,0,1,2,1,1,,,
4,37,Phi Phi O'Hara,25,0,0,3,8,9,0,1,2,2,1,,,
4,37,Phi Phi O'Hara,25,0,0,3,9,10,0,2,2,2,1,,,
4,37,Phi Phi O'Hara,25,0,0,3,10,11,0,2,3,2,1,,,
4,37,Phi Phi O'Hara,25,0,0,3,11,12,1,2,3,2,1,,,
4,38,Latrice Royale,39,0,1,4,0,1,0,,,,,,,
4,38,Latrice Royale,39,0,1,4,1,2,0,,,,,,,
4,38,Latrice Royale,39,0,1,4,2,3,0,,,,,,,
4,38,Latrice Royale,39,0,1,4,3,4,0,1,,,,,,
4,38,Latrice Royale,39,0,1,4,4,5,0,1,,,,,,
4,38,Latrice Royale,39,0,1,4,5,6,0,1,1,,,,,
4,38,Latrice Royale,39,0,1,4,6,7,0,1,1,1,,,,
4,38,Latrice Royale,39,0,1,4,7,8,0,2,1,1,,,,
4,38,Latrice Royale,39,0,1,4,8,9,0,2,1,1,1,,,
4,38,Latrice Royale,39,0,1,4,9,10,0,2,1,1,2,,,
4,38,Latrice Royale,39,0,1,4,10,11,1,2,1,1,3,,,
4,39,Kenya Michaels,21,1,0,5,0,1,0,,,1,,,,
4,39,Kenya Michaels,21,1,0,5,1,2,0,,,1,,,,
4,39,Kenya Michaels,21,1,0,5,2,3,0,,1,1,,,,
4,39,Kenya Michaels,21,1,0,5,3,4,0,,1,2,,,,
4,39,Kenya Michaels,21,1,0,5,4,5,0,,1,2,1,,,
4,39,Kenya Michaels,21,1,0,5,5,6,0,,1,2,1,,,
4,39,Kenya Michaels,21,1,0,5,6,7,0,,1,2,1,,,
4,39,Kenya Michaels,21,1,0,5,7,8,0,,1,2,1,,,
4,39,Kenya Michaels,21,1,0,5,8,9,0,,1,2,1,,,
4,39,Kenya Michaels,21,1,0,5,9,10,1,,1,2,2,,,
4,40,DiDa Ritz,25,0,0,6,0,1,0,,,,,,,
4,40,DiDa Ritz,25,0,0,6,1,2,0,,,1,,,,
4,40,DiDa Ritz,25,0,0,6,2,3,0,,,1,1,,,
4,40,DiDa Ritz,25,0,0,6,3,4,0,,,1,1,,,
4,40,DiDa Ritz,25,0,0,6,4,5,0,,,1,1,,,
4,40,DiDa Ritz,25,0,0,6,5,6,0,,,2,1,,,
4,40,DiDa Ritz,25,0,0,6,6,7,0,,,2,1,,,
4,40,DiDa Ritz,25,0,0,6,7,8,0,,,2,1,,,
4,40,DiDa Ritz,25,0,0,6,8,9,1,,,2,2,,,
4,41,Willam,29,0,0,7,0,1,0,,,,,,,
4,41,Willam,29,0,0,7,1,2,0,,,1,,,,
4,41,Willam,29,0,0,7,2,3,0,,,1,,,,
4,41,Willam,29,0,0,7,3,4,0,,1,1,,,,
4,41,Willam,29,0,0,7,4,5,0,,2,1,,,,
4,41,Willam,29,0,0,7,5,6,0,1,2,1,,,,
4,41,Willam,29,0,0,7,6,7,0,1,2,1,1,,,
4,41,Willam,29,0,0,7,7,8,1,1,2,1,1,,,
4,42,Jiggy Caliente,30,0,1,8,0,1,0,,,,1,,,
4,42,Jiggy Caliente,30,0,1,8,1,2,0,,,,1,,,
4,42,Jiggy Caliente,30,0,1,8,2,3,0,,,,1,,,
4,42,Jiggy Caliente,30,0,1,8,3,4,0,,1,,1,,,
4,42,Jiggy Caliente,30,0,1,8,4,5,0,,1,,1,,,
4,42,Jiggy Caliente,30,0,1,8,5,6,0,,1,,2,,,
4,42,Jiggy Caliente,30,0,1,8,6,7,1,,1,,3,,,
4,43,Milan,36,0,0,9,0,1,0,,,,,,,
4,43,Milan,36,0,0,9,1,2,0,,1,,,,,
4,43,Milan,36,0,0,9,2,3,0,,1,,,,,
4,43,Milan,36,0,0,9,3,4,0,,1,,1,,,
4,43,Milan,36,0,0,9,4,5,0,,1,,2,,,
4,43,Milan,36,0,0,9,5,6,1,,1,,3,,,
4,44,Madame LaQueer,29,1,1,10,0,1,0,,,,,1,,
4,44,Madame LaQueer,29,1,1,10,1,2,0,1,,,,1,,
4,44,Madame LaQueer,29,1,1,10,2,3,0,1,,1,,1,,
4,44,Madame LaQueer,29,1,1,10,3,4,1,1,,1,1,1,,
4,45,The Princess,31,0,0,11,0,1,0,,1,,,,,
4,45,The Princess,31,0,0,11,1,2,0,,1,,1,,,
4,45,The Princess,31,0,0,11,2,3,1,,1,,2,,,
4,46,Lashauwn Beyond,21,0,0,12,0,1,0,,1,,,,,
4,46,Lashauwn Beyond,21,0,0,12,1,2,0,,1,,1,,,
4,47,Alisa Summers,23,0,0,13,0,1,1,,,,1,,,
5,48,Alaska,27,0,0,2,0,1,0,,1,,,1,,
5,48,Alaska,27,0,0,2,1,2,0,,1,,,1,,
5,48,Alaska,27,0,0,2,2,3,0,,1,1,,1,,
5,48,Alaska,27,0,0,2,3,4,0,,1,1,,1,,
5,48,Alaska,27,0,0,2,4,5,0,,2,1,,1,,
5,48,Alaska,27,0,0,2,5,6,0,,2,2,,1,,
5,48,Alaska,27,0,0,2,6,7,0,,3,2,,1,,
5,48,Alaska,27,0,0,2,7,8,0,1,3,2,,1,,
5,48,Alaska,27,0,0,2,8,9,0,1,4,2,,1,,
5,48,Alaska,27,0,0,2,9,10,0,1,4,3,,1,,
5,48,Alaska,27,0,0,2,10,11,0,2,4,3,,1,,
5,49,Alyssa Edwards,32,0,0,6,0,1,0,,,,,,1,
5,49,Alyssa Edwards,32,0,0,6,1,2,0,,,,,,1,
5,49,Alyssa Edwards,32,0,0,6,2,3,0,,,,,,1,
5,49,Alyssa Edwards,32,0,0,6,3,4,0,1,,,,,1,
5,49,Alyssa Edwards,32,0,0,6,4,5,0,1,,,,,1,
5,49,Alyssa Edwards,32,0,0,6,5,6,0,1,,1,,,1,
5,49,Alyssa Edwards,32,0,0,6,6,7,0,1,,1,1,,1,
5,49,Alyssa Edwards,32,0,0,6,7,8,0,1,,1,2,,1,
5,49,Alyssa Edwards,32,0,0,6,8,9,1,1,,1,3,,1,
5,50,Coco Montrese,37,0,0,5,0,1,0,,,,,,1,
5,50,Coco Montrese,37,0,0,5,1,2,0,,,,,,1,
5,50,Coco Montrese,37,0,0,5,2,3,0,,,,1,,1,
5,50,Coco Montrese,37,0,0,5,3,4,0,,,,1,,1,
5,50,Coco Montrese,37,0,0,5,4,5,0,,,,1,,1,
5,50,Coco Montrese,37,0,0,5,5,6,0,,,,2,,1,
5,50,Coco Montrese,37,0,0,5,6,7,0,1,,,2,,1,
5,50,Coco Montrese,37,0,0,5,7,8,0,1,,,2,,1,
5,50,Coco Montrese,37,0,0,5,8,9,0,1,,,3,,1,
5,50,Coco Montrese,37,0,0,5,9,10,1,1,,,4,,1,
5,51,Detox,27,0,0,4,0,1,0,,,,,,,
5,51,Detox,27,0,0,4,1,2,0,,,,,,,
5,51,Detox,27,0,0,4,2,3,0,1,,,,,,
5,51,Detox,27,0,0,4,3,4,0,1,,,,,,
5,51,Detox,27,0,0,4,4,5,0,1,,,1,,,
5,51,Detox,27,0,0,4,5,6,0,1,,,1,,,
5,51,Detox,27,0,0,4,6,7,0,1,,,1,,,
5,51,Detox,27,0,0,4,7,8,0,1,1,,1,,,
5,51,Detox,27,0,0,4,8,9,0,1,1,1,1,,,
5,51,Detox,27,0,0,4,9,10,0,1,1,1,2,,,
5,51,Detox,27,0,0,4,10,11,1,1,1,1,3,,,
5,52,Ivy Winters,26,0,0,7,0,1,0,,1,,,,,
5,52,Ivy Winters,26,0,0,7,1,2,0,,2,,,,,
5,52,Ivy Winters,26,0,0,7,2,3,0,,2,,,,,
5,52,Ivy Winters,26,0,0,7,3,4,0,,3,,,,,
5,52,Ivy Winters,26,0,0,7,4,5,0,,3,1,,,,
5,52,Ivy Winters,26,0,0,7,5,6,0,1,3,1,,,,
5,52,Ivy Winters,26,0,0,7,6,7,0,1,3,2,,,,
5,52,Ivy Winters,26,0,0,7,7,8,1,1,3,2,1,,,
5,53,Jinkx Monsoon,24,0,0,1,0,1,0,,,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,1,2,0,,,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,2,3,0,,1,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,3,4,0,,2,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,4,5,0,1,2,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,5,6,0,1,3,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,6,7,0,1,4,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,7,8,0,1,5,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,8,9,0,2,5,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,9,10,0,2,6,,,1,,1
5,53,Jinkx Monsoon,24,0,0,1,10,11,0,2,6,,1,1,,1
5,54,Roxxxy Andrews,29,0,0,3,0,1,0,1,,,,,1,
5,54,Roxxxy Andrews,29,0,0,3,1,2,0,1,,,,,1,
5,54,Roxxxy Andrews,29,0,0,3,2,3,0,1,1,,,,1,
5,54,Roxxxy Andrews,29,0,0,3,3,4,0,1,1,,,,1,
5,54,Roxxxy Andrews,29,0,0,3,4,5,0,1,2,1,,,1,
5,54,Roxxxy Andrews,29,0,0,3,5,6,0,1,3,1,,,1,
5,54,Roxxxy Andrews,29,0,0,3,6,7,0,1,3,1,1,,1,
5,54,Roxxxy Andrews,29,0,0,3,7,8,0,1,3,2,1,,1,
5,54,Roxxxy Andrews,29,0,0,3,8,9,0,1,4,2,1,,1,
5,54,Roxxxy Andrews,29,0,0,3,9,10,0,2,4,2,1,,1,
5,54,Roxxxy Andrews,29,0,0,3,10,11,0,2,5,2,1,,1,
5,55,Jade Jolie,25,0,0,8,0,1,0,,,1,,,,
5,55,Jade Jolie,25,0,0,8,1,2,0,,,1,,,,
5,55,Jade Jolie,25,0,0,8,2,3,0,,,1,,,,
5,55,Jade Jolie,25,0,0,8,3,4,0,,,1,,,,
5,55,Jade Jolie,25,0,0,8,4,5,0,,,1,,,,
5,55,Jade Jolie,25,0,0,8,5,6,1,,,1,1,,,
5,56,Lineysha Sparx,24,1,0,9,0,1,0,,1,,,,,
5,56,Lineysha Sparx,24,1,0,9,1,2,0,1,1,,,,,
5,56,Lineysha Sparx,24,1,0,9,2,3,0,1,1,,,,,
